tth,COR,HYM,CAL
27.81240101,118,977,112
27.83866157,95,950,118
27.86492214,99,1008,105
27.89118271,88,994,128
27.91744327,87,980,128
27.94370384,97,901,131
27.9699644,106,894,135
27.99622497,94,896,113
28.02248553,99,812,140
28.0487461,96,736,102
28.07500666,110,788,127
28.10126723,105,834,133
28.12752779,95,816,131
28.15378836,98,889,133
28.18004892,98,899,122
28.20630949,100,970,142
28.23257005,109,966,121
28.25883062,95,1103,122
28.28509119,92,1141,131
28.31135175,81,1156,125
28.33761232,97,1064,142
28.36387288,118,1081,145
28.39013345,118,963,147
28.41639401,97,957,145
28.44265458,108,856,146
28.46891514,94,824,164
28.49517571,108,770,137
28.52143627,97,756,151
28.54769684,105,692,139
28.5739574,93,683,164
28.60021797,113,663,150
28.62647854,104,670,144
28.6527391,115,729,150
28.67899967,108,765,176
28.70526023,104,847,153
28.7315208,111,919,161
28.75778136,100,969,176
28.78404193,95,974,183
28.81030249,118,996,212
28.83656306,90,1026,197
28.86282362,112,928,203
28.88908419,97,938,246
28.91534475,88,878,275
28.94160532,91,832,282
28.96786588,84,800,302
28.99412645,94,721,313
29.02038702,94,666,351
29.04664758,87,649,427
29.07290815,89,556,442
29.09916871,101,576,543
29.12542928,91,510,679
29.15168984,118,536,809
29.17795041,100,525,877
29.20421097,95,481,1135
29.23047154,92,479,1526
29.2567321,104,430,1908
29.28299267,82,419,2638
29.30925323,110,395,3872
29.3355138,108,418,5795
29.36177437,103,372,8799
29.38803493,105,389,13312
29.4142955,99,373,17037
29.44055606,116,320,14061
29.46681663,111,343,11528
29.49307719,104,305,9855
29.51933776,98,329,6578
29.54559832,77,291,3765
29.57185889,83,302,2349
29.59811945,107,322,1761
29.62438002,100,308,1260
29.65064058,78,314,1057
29.67690115,92,316,882
29.70316171,99,308,687
29.72942228,91,284,635
29.75568285,94,303,559
29.78194341,91,275,513
29.80820398,94,313,444
29.83446454,91,326,408
29.86072511,104,314,346
29.88698567,87,265,333
29.91324624,89,302,320
29.9395068,103,299,306
29.96576737,94,310,252
29.99202793,90,325,240
30.0182885,104,301,217
30.04454906,89,346,256
30.07080963,100,362,217
30.0970702,84,358,214
30.12333076,86,332,192
30.14959133,109,371,166
30.17585189,85,383,182
30.20211246,73,446,175
30.22837302,97,465,165
30.25463359,94,461,178
30.28089415,86,512,146
30.30715472,81,574,146
30.33341528,94,575,133
30.35967585,97,685,174
30.38593641,107,737,151
30.41219698,89,778,142
30.43845754,103,887,148
30.46471811,81,933,130
30.49097868,85,1085,140
30.51723924,82,1209,119
30.54349981,81,1444,139
30.56976037,87,1637,117
30.59602094,88,1807,143
30.6222815,91,1980,132
30.64854207,88,2296,134
30.67480263,97,2791,123
30.7010632,104,3061,137
30.72732376,96,3435,115
30.75358433,83,4048,117
30.77984489,64,4607,115
30.80610546,88,4901,120
30.83236603,95,5185,132
30.85862659,84,5227,141
30.88488716,80,4836,141
30.91114772,93,4348,160
30.93740829,85,3837,131
30.96366885,90,3114,136
30.98992942,63,2613,136
31.01618998,88,2111,146
31.04245055,93,1709,134
31.06871111,83,1425,130
31.09497168,91,1226,141
31.12123224,98,1085,109
31.14749281,101,905,145
31.17375337,91,752,139
31.20001394,81,704,152
31.22627451,74,653,142
31.25253507,89,581,165
31.27879564,84,598,167
31.3050562,81,549,163
31.33131677,85,556,188
31.35757733,93,515,228
31.3838379,91,519,283
31.41009846,97,515,341
31.43635903,84,486,451
31.46261959,92,515,402
31.48888016,77,558,380
31.51514072,81,613,351
31.54140129,108,635,320
31.56766186,91,636,247
31.59392242,118,633,186
31.62018299,110,584,191
31.64644355,76,581,136
31.67270412,93,523,128
31.69896468,75,485,143
31.72522525,95,468,123
31.75148581,77,390,112
31.77774638,101,405,115
31.80400694,93,342,88
31.83026751,75,355,108
31.85652807,91,344,117
31.88278864,98,297,99
31.9090492,79,302,118
31.93530977,87,282,118
31.96157034,70,314,85
31.9878309,82,286,94
32.01409147,91,319,110
32.04035203,86,340,118
32.0666126,102,315,95
32.09287316,82,352,110
32.11913373,76,335,99
32.14539429,80,337,98
32.17165486,82,406,118
32.19791542,87,433,96
32.22417599,88,448,103
32.25043655,78,483,94
32.27669712,69,461,111
32.30295769,95,509,79
32.32921825,79,474,95
32.35547882,91,444,101
32.38173938,86,462,95
32.40799995,92,424,89
32.43426051,74,359,105
32.46052108,86,332,104
32.48678164,77,324,97
32.51304221,80,352,97
32.53930277,79,289,75
32.56556334,78,307,82
32.5918239,85,298,86
32.61808447,84,280,74
32.64434503,82,297,102
32.6706056,87,320,89
32.69686617,69,308,87
32.72312673,96,315,75
32.7493873,90,342,96
32.77564786,76,286,75
32.80190843,78,331,69
