tth,counts
34.37244235,228
34.39870291,158
34.42496348,162
34.45122404,197
34.47748461,170
34.50374517,195
34.53000574,199
34.55626631,201
34.58252687,193
34.60878744,207
34.635048,207
34.66130857,211
34.68756913,220
34.7138297,214
34.74009026,218
34.76635083,230
34.79261139,216
34.81887196,259
34.84513252,276
34.87139309,274
34.89765366,338
34.92391422,373
34.95017479,422
34.97643535,531
35.00269592,685
35.02895648,827
35.05521705,1167
35.08147761,1630
35.10773818,2378
35.13399874,3258
35.16025931,3603
35.18651987,2855
35.21278044,2286
35.239041,2102
35.26530157,1866
35.29156214,1119
35.3178227,783
35.34408327,660
35.37034383,564
35.3966044,508
35.42286496,505
35.44912553,525
35.47538609,527
35.50164666,482
35.52790722,521
35.55416779,469
35.58042835,421
35.60668892,471
35.63294949,438
35.65921005,476
35.68547062,535
35.71173118,566
35.73799175,604
35.76425231,657
35.79051288,796
35.81677344,770
35.84303401,842
35.86929457,892
35.89555514,976
35.9218157,964
35.94807627,937
35.97433683,939
36.0005974,873
36.02685797,843
36.05311853,733
36.0793791,680
36.10563966,731
36.13190023,676
36.15816079,654
36.18442136,640
36.21068192,619
36.23694249,623
36.26320305,589
36.28946362,595
36.31572418,590
36.34198475,497
36.36824532,512
36.39450588,420
36.42076645,438
36.44702701,399
36.47328758,364
36.49954814,365
36.52580871,313
36.55206927,335
36.57832984,320
36.6045904,283
36.63085097,311
36.65711153,308
36.6833721,266
36.70963266,287
36.73589323,281
36.7621538,300
36.78841436,323
36.81467493,326
36.84093549,292
36.86719606,311
36.89345662,295
36.91971719,277
36.94597775,293
36.97223832,244
36.99849888,260
37.02475945,286
37.05102001,248
37.07728058,281
37.10354115,260
37.12980171,299
37.15606228,264
37.18232284,281
37.20858341,305
37.23484397,281
37.26110454,296
37.2873651,270
37.31362567,265
37.33988623,251
37.3661468,257
37.39240736,282
37.41866793,251
37.44492849,249
37.47118906,260
37.49744963,238
37.52371019,257
37.54997076,294
37.57623132,280
37.60249189,322
37.62875245,381
37.65501302,440
37.68127358,581
37.70753415,817
37.73379471,1177
37.76005528,1498
37.78631584,1541
37.81257641,1173
37.83883698,937
37.86509754,893
37.89135811,853
37.91761867,551
37.94387924,360
37.9701398,278
37.99640037,277
38.02266093,244
38.0489215,261
38.07518206,268
