tth,counts
14.30937042,344
14.33563098,279
14.36189155,279
14.38815211,292
14.41441268,316
14.44067324,311
14.46693381,289
14.49319437,268
14.51945494,309
14.5457155,316
14.57197607,324
14.59823664,267
14.6244972,295
14.65075777,276
14.67701833,311
14.7032789,286
14.72953946,292
14.75580003,262
14.78206059,312
14.80832116,310
14.83458172,287
14.86084229,246
14.88710285,284
14.91336342,275
14.93962398,282
14.96588455,250
14.99214512,274
15.01840568,301
15.04466625,295
15.07092681,257
15.09718738,274
15.12344794,285
15.14970851,287
15.17596907,278
15.20222964,282
15.2284902,298
15.25475077,268
15.28101133,254
15.3072719,300
15.33353247,265
15.35979303,281
15.3860536,276
15.41231416,259
15.43857473,285
15.46483529,275
15.49109586,250
15.51735642,273
15.54361699,295
15.56987755,284
15.59613812,286
15.62239868,233
15.64865925,291
15.67491981,259
15.70118038,261
15.72744095,248
15.75370151,284
15.77996208,251
15.80622264,268
15.83248321,243
15.85874377,244
15.88500434,257
15.9112649,259
15.93752547,246
15.96378603,265
15.9900466,260
16.01630716,249
16.04256773,243
16.0688283,264
16.09508886,264
16.12134943,235
16.14760999,248
16.17387056,255
16.20013112,273
16.22639169,259
16.25265225,266
16.27891282,265
16.30517338,230
16.33143395,255
16.35769451,253
16.38395508,232
16.41021564,263
16.43647621,242
16.46273678,232
16.48899734,242
16.51525791,256
16.54151847,232
16.56777904,245
16.5940396,269
16.62030017,266
16.64656073,222
16.6728213,227
16.69908186,266
16.72534243,250
16.75160299,226
16.77786356,268
16.80412413,244
16.83038469,239
16.85664526,221
16.88290582,232
16.90916639,247
16.93542695,241
16.96168752,243
16.98794808,217
17.01420865,268
17.04046921,243
17.06672978,253
17.09299034,218
17.11925091,238
17.14551147,241
17.17177204,229
17.19803261,223
17.22429317,225
17.25055374,218
17.2768143,243
17.30307487,260
17.32933543,217
17.355596,223
17.38185656,250
17.40811713,231
17.43437769,252
17.46063826,241
17.48689882,209
17.51315939,204
17.53941996,248
17.56568052,235
17.59194109,218
17.61820165,221
17.64446222,221
17.67072278,218
17.69698335,205
17.72324391,213
17.74950448,218
17.77576504,230
17.80202561,205
17.82828617,235
17.85454674,212
17.8808073,228
17.90706787,213
17.93332844,234
17.959589,220
17.98584957,234
18.01211013,208
18.0383707,234
18.06463126,199
18.09089183,221
18.11715239,190
18.14341296,210
18.16967352,215
18.19593409,229
18.22219465,204
18.24845522,211
18.27471579,222
18.30097635,175
18.32723692,204
18.35349748,215
18.37975805,209
18.40601861,228
18.43227918,204
18.45853974,211
18.48480031,204
18.51106087,198
18.53732144,195
18.563582,188
18.58984257,212
18.61610313,208
18.6423637,220
18.66862427,186
18.69488483,220
18.7211454,194
18.74740596,195
18.77366653,204
18.79992709,190
18.82618766,194
18.85244822,214
18.87870879,223
18.90496935,204
18.93122992,193
18.95749048,221
18.98375105,198
19.01001162,205
19.03627218,200
19.06253275,155
19.08879331,187
19.11505388,191
19.14131444,196
19.16757501,199
19.19383557,213
19.22009614,190
19.2463567,170
19.27261727,227
19.29887783,200
19.3251384,193
19.35139896,209
19.37765953,184
19.4039201,183
19.43018066,199
19.45644123,186
19.48270179,182
19.50896236,186
19.53522292,186
